Scan type: APPLIED VOLTAGE;
Applied Voltage: 1.5;
Applied Duration: 10.0;
Creator: Ivan;
Label: Schotky;
Composition: N/A;
Date: Tue Jul 10 12:22:38 2018;
Light Intensity: N/A;
Pixel: N/A;
Voltage/ V, Current/ A, Time/ s;
1.499934,4.686144e-07,0.0;
1.499934,4.68526e-07,0.082647;
1.499934,4.684319e-07,0.165244;
1.499933,4.685337e-07,0.247864;
1.499933,4.683273e-07,0.330464;
1.499935,4.684295e-07,0.413063;
1.499933,4.683646e-07,0.495655;
1.499933,4.684007e-07,0.578264;
1.499934,4.684967e-07,0.660873;
1.499934,4.681489e-07,0.743465;
1.499934,4.684136e-07,0.826063;
1.499933,4.681817e-07,0.908652;
1.499934,4.680318e-07,0.991247;
1.499933,4.680697e-07,1.073836;
1.499934,4.68238e-07,1.156438;
1.499933,4.678142e-07,1.239052;
1.499935,4.679113e-07,1.321638;
1.499934,4.681355e-07,1.404236;
1.499934,4.67786e-07,1.48685;
1.499932,4.678454e-07,1.569465;
1.499932,4.679415e-07,1.652064;
1.499934,4.680157e-07,1.734674;
1.499933,4.674827e-07,1.817263;
1.499934,4.677245e-07,1.899855;
1.499933,4.676951e-07,1.982468;
1.499933,4.673309e-07,2.06507;
1.499934,4.6743e-07,2.147664;
1.499934,4.67507e-07,2.230262;
1.499935,4.673311e-07,2.312867;
1.499933,4.671678e-07,2.395464;
1.499934,4.673063e-07,2.478068;
1.499934,4.672545e-07,2.560669;
1.499932,4.671014e-07,2.643277;
1.499933,4.671477e-07,2.725868;
1.499934,4.67271e-07,2.808465;
1.499934,4.670564e-07,2.891081;
1.499934,4.670282e-07,2.973698;
1.499933,4.670251e-07,3.056298;
1.499934,4.669081e-07,3.138901;
1.499934,4.667716e-07,3.221522;
1.499933,4.667946e-07,3.304122;
1.499934,4.666942e-07,3.386726;
1.499934,4.665796e-07,3.469341;
1.499934,4.666553e-07,3.551954;
1.499934,4.665232e-07,3.634538;
1.499934,4.665177e-07,3.717148;
1.499934,4.664634e-07,3.799752;
1.499933,4.664275e-07,3.882365;
1.499933,4.66306e-07,3.964986;
1.499934,4.663455e-07,4.047573;
1.499933,4.663277e-07,4.130181;
1.499934,4.661917e-07,4.212778;
1.499932,4.66164e-07,4.295371;
1.499933,4.662068e-07,4.377983;
1.499933,4.660761e-07,4.460581;
1.499934,4.659283e-07,4.543171;
1.499934,4.660471e-07,4.625756;
1.499933,4.660257e-07,4.708377;
1.499934,4.659226e-07,4.79097;
1.499934,4.659123e-07,4.87357;
1.499934,4.659919e-07,4.956163;
1.499932,4.658677e-07,5.038759;
1.499934,4.657852e-07,5.121367;
1.499934,4.65854e-07,5.203985;
1.499933,4.657542e-07,5.286586;
1.499933,4.656885e-07,5.36919;
1.499933,4.656746e-07,5.451793;
1.499933,4.65664e-07,5.534388;
1.499934,4.655824e-07,5.616985;
1.499934,4.655283e-07,5.699585;
1.499933,4.655459e-07,5.782181;
1.499933,4.654806e-07,5.864772;
1.499934,4.654651e-07,5.947376;
1.499933,4.654728e-07,6.029958;
1.499935,4.654425e-07,6.11256;
1.499934,4.654141e-07,6.195165;
1.499933,4.65387e-07,6.27777;
1.499934,4.652673e-07,6.360372;
1.499933,4.65336e-07,6.44296;
1.499934,4.653151e-07,6.525576;
1.499934,4.652464e-07,6.608168;
1.499934,4.652234e-07,6.690772;
1.499933,4.652294e-07,6.773376;
1.499934,4.651556e-07,6.855969;
1.499935,4.650588e-07,6.938572;
1.499934,4.651371e-07,7.021166;
1.499933,4.650417e-07,7.103776;
1.499934,4.650204e-07,7.186379;
1.499934,4.650173e-07,7.268993;
1.499934,4.649969e-07,7.351579;
1.499932,4.649814e-07,7.434175;
1.499934,4.648737e-07,7.516775;
1.499934,4.64916e-07,7.599381;
1.499934,4.648632e-07,7.681982;
1.499934,4.647939e-07,7.764588;
1.499934,4.64697e-07,7.847187;
1.499934,4.647738e-07,7.929781;
1.499934,4.647162e-07,8.012392;
1.499935,4.64584e-07,8.094986;
1.499933,4.646596e-07,8.177583;
1.499933,4.645769e-07,8.260188;
1.499932,4.645032e-07,8.342791;
1.499932,4.645267e-07,8.425383;
1.499934,4.6458e-07,8.507991;
1.499934,4.644814e-07,8.590592;
1.499933,4.644888e-07,8.673207;
1.499934,4.644436e-07,8.755821;
1.499934,4.643565e-07,8.838428;
1.499935,4.643236e-07,8.921017;
1.499935,4.641981e-07,9.003612;
1.499934,4.642071e-07,9.08621;
1.499934,4.641966e-07,9.168798;
1.499934,4.641259e-07,9.251414;
1.499935,4.640586e-07,9.334026;
-1.170185e-06,-6.124403e-10,9.344026;
-1.432811e-06,-5.00664e-10,9.426654;
-7.166018e-07,-6.054258e-10,9.509252;
-1.316657e-07,-4.849733e-10,9.591871;
-2.18481e-06,-6.654229e-10,9.674477999999999;
-1.55218e-06,-4.361117e-10,9.757088999999999;
-1.444743e-06,-6.965867e-10,9.839685999999999;
-2.07741e-06,-5.711099e-10,9.922302;
-2.280285e-06,-5.318099e-10,10.004906;
-2.053515e-06,-7.413689e-10,10.087520999999999;
-2.590685e-06,-6.372764e-10,10.170129999999999;
-2.554836e-06,-6.196779e-10,10.252704999999999;
-2.471272e-06,-4.592627e-10,10.335286;
-1.755026e-06,-7.540769e-10,10.417919;
-1.074644e-06,-3.695809e-10,10.500532;
-1.70734e-06,-4.833298e-10,10.583145;
-5.97196e-07,-5.028944e-10,10.665754999999999;
-5.851907e-07,-4.47675e-10,10.748351999999999;
-6.330083e-07,-3.740304e-10,10.830948999999999;
-1.038876e-06,-4.304059e-10,10.913566999999999;
-4.420581e-07,-5.591585e-10,10.996163;
-1.098524e-06,-3.837687e-10,11.078754;
-1.981876e-06,-5.4608e-10,11.161356;
-2.793589e-06,-5.978241e-10,11.243957;
-1.265667e-06,-6.163555e-10,11.326573;
-2.67422e-06,-6.499907e-10,11.409179;
-3.784298e-06,-7.165854e-10,11.491771;
-3.211346e-06,-7.026912e-10,11.574375999999999;
-2.662251e-06,-6.267453e-10,11.656978;
-2.411536e-06,-5.998545e-10,11.739555;
-2.50712e-06,-6.304143e-10,11.822158;
-2.510642e-07,-5.307477e-10,11.904781;
