Scan type: APPLIED VOLTAGE;
Applied Voltage: 1.5;
Applied Duration: 10.0;
Creator: bla;
Label: black;
Composition: blo;
Date: Tue Jul 10 12:19:20 2018;
Light Intensity: ble;
Pixel: blu;
Voltage/ V, Current/ A, Time/ s;
1.499936,0.003254495,0.0;
1.499936,0.003254514,0.082629;
1.499936,0.003254526,0.165219;
1.499936,0.003254535,0.247813;
1.499934,0.003254542,0.330424;
1.499936,0.003254554,0.413033;
1.499935,0.003254556,0.495637;
1.499936,0.003254568,0.578247;
1.499936,0.003254571,0.660851;
1.499936,0.003254578,0.743473;
1.499936,0.003254583,0.826081;
1.499937,0.003254591,0.908683;
1.499936,0.003254596,0.991285;
1.499937,0.003254602,1.073884;
1.499936,0.003254605,1.156492;
1.499936,0.003254609,1.239092;
1.499936,0.003254613,1.321696;
1.499936,0.003254618,1.404293;
1.499936,0.003254624,1.486898;
1.499937,0.00325463,1.569504;
1.499937,0.003254633,1.6521;
1.499936,0.003254635,1.734699;
1.499937,0.00325464,1.817302;
1.499936,0.003254647,1.899896;
1.499936,0.003254651,1.982497;
1.499937,0.003254656,2.065095;
1.499936,0.003254661,2.147688;
1.499936,0.003254659,2.230278;
1.499936,0.003254666,2.312874;
1.499936,0.003254666,2.395472;
1.499937,0.003254669,2.478059;
1.499936,0.003254673,2.560659;
1.499936,0.003254677,2.643245;
1.499937,0.003254682,2.725832;
1.499936,0.003254683,2.80843;
1.499934,0.00325468,2.891019;
1.499936,0.003254692,2.973609;
1.499936,0.003254694,3.056222;
1.499936,0.003254695,3.138829;
1.499938,0.003254702,3.22144;
1.499936,0.003254703,3.30406;
1.499936,0.003254704,3.386667;
1.499937,0.003254709,3.469271;
1.499936,0.00325471,3.551882;
1.499936,0.003254712,3.634496;
1.499937,0.003254717,3.717098;
1.499936,0.00325472,3.799708;
1.499936,0.003254721,3.882313;
1.499936,0.003254724,3.96492;
1.499936,0.003254727,4.04753;
1.499936,0.003254727,4.130135;
1.499936,0.003254734,4.212745;
1.499937,0.003254737,4.295353;
1.499938,0.00325474,4.377951;
1.499936,0.00325474,4.460553;
1.499936,0.003254744,4.54316;
1.499937,0.003254745,4.625757;
1.499936,0.003254745,4.70836;
1.499937,0.003254753,4.790972;
1.499936,0.003254752,4.87357;
1.499936,0.003254759,4.956169;
1.499936,0.003254759,5.038773;
1.499935,0.003254757,5.121371;
1.499936,0.003254763,5.203968;
1.499937,0.003254765,5.286572;
1.499937,0.00325477,5.36917;
1.499936,0.003254772,5.451767;
1.499937,0.003254774,5.53437;
1.499937,0.003254775,5.616963;
1.499937,0.003254779,5.69956;
1.499937,0.003254781,5.782159;
1.499938,0.003254782,5.864749;
1.499937,0.003254783,5.947345;
1.499936,0.003254786,6.029948;
1.499937,0.003254785,6.112539;
1.499937,0.003254788,6.195132;
1.499936,0.00325479,6.27774;
1.499936,0.00325479,6.360343;
1.499937,0.003254794,6.442937;
1.499938,0.003254797,6.52553;
1.499936,0.003254795,6.608124;
1.499936,0.003254797,6.690714;
1.499936,0.003254798,6.773311;
1.499937,0.003254803,6.855906;
1.499936,0.003254798,6.938505;
1.499935,0.003254801,7.021103;
1.499936,0.003254802,7.10369;
1.499937,0.003254803,7.186282;
1.499937,0.003254802,7.268875;
1.499936,0.003254802,7.351477;
1.499936,0.003254803,7.434068;
1.499936,0.003254801,7.516664;
1.499937,0.003254808,7.599254;
1.499936,0.003254809,7.681842;
1.499937,0.003254808,7.764462;
1.499937,0.003254811,7.847056;
1.499936,0.003254807,7.929646;
1.499937,0.003254813,8.012245;
1.499938,0.003254813,8.094839;
1.499937,0.003254816,8.177436;
1.499936,0.003254814,8.26004;
1.499936,0.003254813,8.342632;
1.499937,0.003254818,8.42522;
1.499935,0.003254818,8.507806;
1.499935,0.003254818,8.590396;
1.499937,0.003254824,8.672986;
1.499936,0.003254824,8.755582;
1.499935,0.003254823,8.838177;
1.499937,0.003254827,8.920764;
1.499937,0.003254829,9.003354;
1.499936,0.003254827,9.085945;
1.499937,0.003254835,9.16853;
